曲名,難易度,スコア,メダル
Anicca,0,1000000,3
Anicca,2,1000000,3
天ノ弱,0,1000000,3
天ノ弱,2,0998945,2
Idola,0,1000000,3
Idola,1,1000000,3
Idola,2,0993241,2
色は匂へど 散りぬるを,0,1000000,3
色は匂へど 散りぬるを,1,1000000,3
色は匂へど 散りぬるを,2,1000000,3
INFINITE WORLD,0,1000000,3
INFINITE WORLD,1,1000000,3
INFINITE WORLD,2,1000000,3
ウサテイ,0,1000000,3
ウサテイ,1,1000000,3
ウサテイ,2,0999371,2
EBONY & IVORY,1,0951935,1
EBONY & IVORY,2,0986288,1
乙女繚乱 舞い咲き誇れ,2,0955005,1
お嫁にしなさいっ！,0,1000000,3
お嫁にしなさいっ！,1,1000000,3
お嫁にしなさいっ！,2,1000000,3
オラシオン,2,1000000,3
過食性:アイドル症候群,0,1000000,3
過食性:アイドル症候群,1,1000000,3
過食性:アイドル症候群,2,0987716,2
カタルシスの月,0,0994871,2
カタルシスの月,1,0971428,2
カタルシスの月,2,0994789,1
Colorful Days ～NEWラブプラス メインテーマ～,0,1000000,3
Colorful Days ～NEWラブプラス メインテーマ～,1,1000000,3
Colorful Days ～NEWラブプラス メインテーマ～,2,1000000,3
キャトられ恋はモ～モク,2,0983089,1
きゅうりバーにダイブ,2,0997500,2
共鳴のTrue Force,0,1000000,3
共鳴のTrue Force,2,1000000,3
狂イ咲ケ焔ノ華,2,0997368,2
ケロ⑨destiny,0,1000000,3
ケロ⑨destiny,1,1000000,3
ケロ⑨destiny,2,1000000,3
げきオコスティックファイナリアリティぷんぷんマスタースパーク,0,1000000,3
げきオコスティックファイナリアリティぷんぷんマスタースパーク,1,1000000,3
げきオコスティックファイナリアリティぷんぷんマスタースパーク,2,0999238,2
幻想系世界修復少女,0,1000000,3
幻想系世界修復少女,1,1000000,3
幻想系世界修復少女,2,1000000,3
恋する☆宇宙戦争っ！！,2,0967054,1
最終鬼畜妹フランドール・S,0,1000000,3
最終鬼畜妹フランドール・S,1,1000000,3
最終鬼畜妹フランドール・S,2,0999723,2
sister’s noise,2,0999049,2
祝祭のエレメンタリア,0,1000000,3
祝祭のエレメンタリア,2,1000000,3
しゅわスパ大作戦☆,0,1000000,3
しゅわスパ大作戦☆,1,1000000,3
しゅわスパ大作戦☆,2,1000000,3
Synchrogazer,2,0998723,2
sweet little sister,2,0997716,2
Scarlet Moon,2,0996882,2
Stay Gold,2,0854540,1
Struggle,2,0996680,2
SAVIOR OF SONG,0,1000000,3
SAVIOR OF SONG,1,1000000,3
SAVIOR OF SONG,2,1000000,3
HΨ=世界創造=EΨ,0,1000000,3
HΨ=世界創造=EΨ,2,0993916,2
セツナトリップ,0,1000000,3
セツナトリップ,1,1000000,3
セツナトリップ,2,1000000,3
即席！脳直★ミュージックシステム,1,0996619,2
即席！脳直★ミュージックシステム,2,0987147,2
それは花火のような恋,2,0846198,1
竹取飛翔 ～ Lunatic Princess (Ryu☆Remix),2,0999520,2
ちくわパフェだよ☆ＣＫＰ,0,1000000,3
ちくわパフェだよ☆ＣＫＰ,1,1000000,3
ちくわパフェだよ☆ＣＫＰ,2,0996630,2
チルノのパーフェクトさんすう教室,0,1000000,3
チルノのパーフェクトさんすう教室,1,1000000,3
チルノのパーフェクトさんすう教室,2,1000000,3
月に叢雲華に風,0,1000000,3
月に叢雲華に風,1,1000000,3
月に叢雲華に風,2,1000000,3
ツーマンライブ,2,0999101,2
This game,0,0996363,2
This game,1,0988392,2
This game,2,1000000,3
Daydream caf,2,0994339,2
突撃!ガラスのニーソ姫!,2,0997456,2
取り残された美術(Arranged:HiZuMi),2,0997820,2
ナイト・オブ・ナイツ,0,1000000,3
ナイト・オブ・ナイツ,1,1000000,3
ナイト・オブ・ナイツ,2,0966175,1
†渚の小悪魔ラヴリィ～レイディオ†  ,2,0999599,2
にゃにゃにゃんにゃんにゃーのこねこ,2,0987067,1
Nyan Cat,0,1000000,3
Nyan Cat,1,1000000,3
Nyan Cat,2,1000000,3
NEON WORLD,2,0991155,1
爆なな☆てすとロイヤー,2,0983588,1
Bad Apple!! feat. nomico,2,0996044,2
バンブーソード・ガール,0,1000000,3
バンブーソード・ガール,1,0999460,2
バンブーソード・ガール,2,0992202,2
パ→ピ→プ→Yeah!,1,0979002,1
パ→ピ→プ→Yeah!,2,0994214,1
ビビットストリーム,2,1000000,3
精霊剣舞祭<ブレイドダンス>,2,1000000,3
プレインエイジア -PHQ remix-,2,0973118,1
Help me, ERINNNNNN!!,0,1000000,3
Help me, ERINNNNNN!!,1,1000000,3
Help me, ERINNNNNN!!,2,1000000,3
放課後革命,2,0998843,2
放課後ストライド,0,1000000,3
放課後ストライド,2,1000000,3
ホメ猫☆センセーション,2,0998867,2
待チ人ハ来ズ。,0,1000000,3
待チ人ハ来ズ。,1,1000000,3
待チ人ハ来ズ。,2,1000000,3
マネマネサイコトロピック,0,1000000,3
マネマネサイコトロピック,1,1000000,3
マネマネサイコトロピック,2,0994321,2
魔理沙は大変なものを盗んでいきました,0,1000000,3
魔理沙は大変なものを盗んでいきました,1,1000000,3
魔理沙は大変なものを盗んでいきました,2,0998526,2
回レ！雪月花,0,1000000,3
回レ！雪月花,2,0999132,2
ミスターデジャブ,0,1000000,3
ミスターデジャブ,1,1000000,3
ミスターデジャブ,2,0991635,2
ミライノトビラ,0,1000000,3
ミライノトビラ,2,1000000,3
Miracle Halloween,0,1000000,3
Miracle Halloween,1,1000000,3
Miracle Halloween,2,1000000,3
メイビ～初恋！？ビスケット☆大作戦,2,0999042,2
めうめうぺったんたん！！,0,0989622,2
めうめうぺったんたん！！,1,0986184,2
めうめうぺったんたん！！,2,0975392,1
滅亡天使 † にこきゅっぴん,0,0995555,2
滅亡天使 † にこきゅっぴん,2,0999400,2
物凄い勢いでけーねが物凄いうた,0,1000000,3
物凄い勢いでけーねが物凄いうた,1,1000000,3
物凄い勢いでけーねが物凄いうた,2,1000000,3
ラクガキスト,0,1000000,3
ラクガキスト,2,0998960,2
リズの内心革命,0,1000000,3
リズの内心革命,1,1000000,3
リズの内心革命,2,0991461,2
凛として咲く花の如く　～ひなビタ♪edition～,0,0998360,2
凛として咲く花の如く　～ひなビタ♪edition～,1,0994945,2
凛として咲く花の如く　～ひなビタ♪edition～,2,0999277,2
Rainbow Magic,0,1000000,3
Rainbow Magic,2,1000000,3
恋愛勇者,0,1000000,3
恋愛勇者,1,1000000,3
恋愛勇者,2,1000000,3
Russian Caravan Rhapsody,2,0923884,1
ロストワンの号哭,0,1000000,3
ロストワンの号哭,1,1000000,3
ロストワンの号哭,2,0996313,2
惑星☆ロリポップ,0,0983606,2
惑星☆ロリポップ,1,0998369,2
惑星☆ロリポップ,2,0999285,2
セツナトリップ,3,0965992,1
パ→ピ→プ→Yeah!,3,0939034,1
惑星☆ロリポップ,3,0954206,1
